央视频道,#genre#
CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV3,http://1.24.39.180:9003/hls/3/index.m3u8
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1773126000-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-e5493d0d78ec4ade7f2b8897bce6eee1&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV4,http://107.150.60.122/live/cctv4k.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8
CCTV5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://hczn.x3322.net:9902/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV5,http://1.24.39.180:9003/hls/5/index.m3u8
CCTV5+,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv5p
CCTV5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV6,http://1.24.39.180:9003/hls/6/index.m3u8
CCTV7,http://113.25.252.226:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV8,http://112.132.10.54:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV8,http://1.24.39.180:9003/hls/8/index.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
