# 江苏电信 IP速度测试结果 - 有效IP 10/13
# 测试时间: 2026-03-07 01:09:43
# IP:端口 速度 连接时间(ms)
121.226.86.41:55555 81.4KB/s (ping:271ms)
49.74.72.204:8888 81.3KB/s (ping:265ms)
121.237.245.83:8888 81.1KB/s (ping:270ms)
117.84.155.41:8333 80.0KB/s (ping:266ms)
114.228.221.221:8095 79.4KB/s (ping:265ms)
49.77.142.206:888 78.8KB/s (ping:250ms)
114.222.8.102:8001 76.3KB/s (ping:304ms)
117.86.48.47:7777 74.8KB/s (ping:279ms)
117.90.228.109:6000 73.6KB/s (ping:266ms)
49.85.97.233:4000 34.4KB/s (ping:250ms)

# 失败统计 (3个):
# 114.226.7.98:18888 - 链接错误
# 49.76.111.184:6333 - 不可用
# 49.76.111.184:53 - 不可用
